id_pays,recus_antiretroviraux,besoin_antiretroviraux_max,taux_prevention
1,20,500,4
3,320,500,64
4,9600,32000,30
5,1800,2000,90
10,50,200,25
12,40,200,20
14,230,500,46
16,40,200,20
17,4600,4300,106
19,350,500,70
25,4700,6100,77
26,4000,6000,66
28,620,850,72
31,3200,5800,55
32,5600,13000,43
33,370,500,74
35,490,2700,18
37,1000,5800,17
41,180,200,90
47,60,500,12
48,770,1200,64
49,370,620,59
50,60,500,12
51,110,500,22
52,1300,3500,37
53,230,690,33
55,8600,12000,71
60,1900,3600,52
61,700,1300,53
66,270,870,31
67,3300,6600,50
68,1000,2500,40
69,160,500,32
70,4900,6800,72
71,200,500,40
75,1800,14000,12
76,310,840,36
80,400,500,80
83,360,660,54
86,130,500,26
87,90,500,18
90,8200,12000,68
91,1800,2300,78
92,60,200,30
95,280,1600,17
97,260,500,52
99,2400,13000,18
101,50,200,25
102,110,100,110
106,220,500,44
108,4300,6100,70
110,150,500,30
113,120,200,60
114,940,2000,47
118,320,3800,8
119,190,500,38
120,960,1500,64
121,250,500,50
122,930,1500,62
123,70,500,14
128,180,500,36
130,230,200,114
132,8600,9400,91
134,1400,2500,56
140,90,730,12
142,5500,13000,42
145,100,3700,2
146,90,100,90
150,220,560,39
151,3800,4500,84
153,4300,6200,69
159,2200,2500,88
164,140,200,70
165,540,1600,33
167,1900,2800,67
168,30,500,6
