id_pays,annee,taux_hiv,taux_mortalite
1,2000,0,100
1,2010,0,500
1,2018,0,500
3,2000,0,100
3,2010,0,200
3,2018,0,200
4,2000,1,4800
4,2010,1,10000
4,2018,2,14000
5,2000,0,1400
5,2010,0,1600
5,2018,0,1700
6,2000,0,100
6,2010,0,200
6,2018,0,200
7,2000,0,500
7,2010,0,500
7,2018,0,200
10,2000,2,500
10,2010,2,200
10,2018,1,200
12,2000,0,100
12,2010,0,500
12,2018,0,580
13,2000,0,100
13,2010,1,100
13,2018,1,100
14,2000,0,100
14,2010,0,200
14,2018,0,500
16,2000,1,100
16,2010,1,200
16,2018,1,200
17,2000,1,2400
17,2010,1,2000
17,2018,1,2200
18,2000,0,100
18,2010,0,100
18,2018,0,100
19,2000,0,670
19,2010,0,1600
19,2018,0,670
20,2000,0,100
20,2010,0,100
20,2018,0,100
21,2000,26,15000
21,2010,23,7300
21,2018,20,4800
22,2000,0,15000
22,2010,0,15000
22,2018,0,15000
24,2000,0,100
24,2010,0,100
24,2018,0,100
25,2000,2,12000
25,2010,1,4800
25,2018,0,3300
26,2000,3,11000
26,2010,1,5200
26,2018,1,1900
27,2000,0,200
27,2010,0,100
27,2018,0,100
28,2000,1,4500
28,2010,0,2500
28,2018,0,1300
29,2000,4,19000
29,2010,4,22000
29,2018,3,18000
31,2000,7,11000
31,2010,5,7800
31,2018,3,4800
32,2000,1,5600
32,2010,1,3500
32,2018,1,3100
33,2018,0,590
36,2000,0,100
36,2010,0,100
36,2018,0,100
37,2000,4,6100
37,2010,3,3900
37,2018,2,4000
38,2000,0,500
38,2010,0,500
38,2018,0,500
39,2000,5,44000
39,2010,3,24000
39,2018,2,16000
40,2000,0,100
40,2010,0,100
40,2018,0,100
41,2000,0,200
41,2010,0,500
41,2018,0,500
43,2000,0,100
43,2010,0,100
43,2018,0,100
45,2000,1,43000
45,2010,1,34000
45,2018,0,13000
46,2000,0,100
46,2010,0,100
46,2018,0,100
47,2000,2,500
47,2010,1,630
47,2018,1,500
48,2000,1,4800
48,2010,1,3000
48,2018,0,1200
49,2000,0,1500
49,2010,0,1100
49,2018,0,620
50,2000,0,100
50,2010,0,200
50,2018,0,500
51,2000,0,810
51,2010,0,500
51,2018,0,700
52,2000,3,680
52,2010,5,1400
52,2018,7,1800
53,2000,1,1100
53,2010,0,620
53,2018,0,500
54,2000,0,100
54,2010,0,200
54,2018,0,100
55,2000,24,5000
55,2010,27,3800
55,2018,27,2400
56,2000,2,58000
56,2010,1,20000
56,2018,1,11000
58,2000,0,100
58,2010,0,100
58,2018,0,100
59,2000,0,880
59,2010,0,600
59,2018,0,500
60,2000,4,1600
60,2010,4,1600
60,2018,3,1200
61,2000,1,500
61,2010,1,970
61,2018,1,980
62,2000,0,100
62,2010,0,100
62,2018,0,500
63,2000,0,880
63,2010,0,500
63,2018,0,500
64,2000,2,18000
64,2010,1,17000
64,2018,1,14000
66,2000,0,2400
66,2010,0,1700
66,2018,0,2200
67,2000,1,5000
67,2010,1,4100
67,2018,1,4300
68,2000,3,1100
68,2010,3,1900
68,2018,3,1800
69,2000,0,100
69,2010,1,100
69,2018,1,200
70,2000,3,12000
70,2010,2,4900
70,2018,2,2700
71,2000,1,3200
71,2010,0,1400
71,2018,0,780
72,2000,0,100
72,2010,0,100
72,2018,0,100
73,2000,0,100
73,2010,0,100
73,2018,0,100
75,2000,0,1900
75,2010,0,24000
75,2018,0,38000
76,2000,0,500
76,2010,0,2400
76,2018,0,2600
77,2000,0,100
77,2010,0,100
77,2018,0,100
78,2000,0,100
78,2010,0,100
78,2018,0,100
79,2000,0,1200
79,2010,0,830
79,2018,0,710
80,2000,2,2400
80,2010,2,1800
80,2018,1,1500
82,2000,0,100
82,2010,0,100
82,2018,0,100
83,2000,0,100
83,2010,0,500
83,2018,0,500
84,2000,9,120000
84,2010,6,56000
84,2018,4,25000
85,2000,0,100
85,2010,0,100
85,2018,0,100
86,2000,0,100
86,2010,0,200
86,2018,0,200
87,2000,0,100
87,2010,0,500
87,2018,0,500
88,2000,0,100
88,2010,0,200
88,2018,0,100
89,2000,0,100
89,2010,0,100
89,2018,0,100
90,2000,23,12000
90,2010,24,7200
90,2018,23,6100
91,2000,2,3000
91,2010,1,2700
91,2018,1,1800
92,2000,0,100
92,2010,0,100
92,2018,0,200
94,2000,0,100
94,2010,0,100
94,2018,0,100
95,2000,0,500
95,2010,0,1400
95,2018,0,1700
96,2000,14,57000
96,2010,10,29000
96,2018,9,13000
97,2000,0,2700
97,2010,0,2900
97,2018,0,2600
99,2000,1,7700
99,2010,1,5300
99,2018,1,6500
101,2000,0,500
101,2010,0,500
101,2018,0,500
102,2000,0,100
102,2010,1,500
102,2018,1,610
104,2000,0,100
104,2010,0,100
104,2018,0,100
105,2000,0,100
105,2010,0,100
105,2018,0,100
106,2000,0,500
106,2010,0,550
106,2018,0,500
107,2000,8,40000
107,2010,12,64000
107,2018,12,54000
108,2000,0,5800
108,2010,0,11000
108,2018,0,7800
109,2000,14,7300
109,2010,13,3500
109,2018,11,2700
110,2000,0,500
110,2010,0,1400
110,2018,0,910
111,2000,0,200
111,2010,0,200
112,2000,0,100
112,2010,0,100
112,2018,0,100
113,2000,0,100
113,2010,0,500
113,2018,0,200
114,2000,0,2300
114,2010,0,1700
114,2018,0,1200
115,2000,1,78000
115,2010,1,72000
115,2018,1,53000
116,2000,0,100
116,2010,0,100
116,2018,0,100
117,2000,0,100
117,2010,0,100
117,2018,0,100
118,2000,0,100
118,2010,0,1400
118,2018,0,6400
119,2000,0,500
119,2010,0,500
119,2018,0,500
121,2000,0,500
121,2010,0,790
121,2018,0,720
122,2000,0,5100
122,2010,0,2100
122,2018,0,1000
123,2000,0,100
123,2010,0,500
123,2018,0,1200
125,2000,0,1100
125,2010,0,930
125,2018,0,500
128,2000,0,500
128,2010,0,740
128,2018,0,570
129,2000,0,100
129,2010,0,100
129,2018,0,100
130,2000,0,500
130,2010,0,200
130,2018,0,200
132,2000,5,18000
132,2010,3,5700
132,2018,2,2900
134,2000,0,1700
134,2010,0,1300
134,2018,0,1300
135,2000,0,200
135,2010,0,100
135,2018,0,100
136,2000,1,2400
136,2010,1,2900
136,2018,1,2100
137,2010,0,100
137,2018,0,100
138,2000,0,100
138,2010,0,100
138,2018,0,100
139,2000,0,100
139,2010,0,100
139,2018,0,100
140,2000,0,810
140,2010,0,1400
140,2018,0,710
141,2000,12,100000
141,2010,18,140000
141,2018,20,71000
142,2000,2,5100
142,2010,2,9800
142,2018,2,9900
143,2000,0,1800
143,2010,0,1300
144,2000,0,100
144,2010,0,500
144,2018,0,200
145,2000,0,650
145,2010,0,1900
145,2018,0,2900
146,2000,1,200
146,2010,1,200
146,2018,1,100
149,2000,0,100
149,2010,0,100
149,2018,0,100
150,2000,0,100
150,2010,0,500
150,2018,0,500
151,2000,2,54000
151,2010,1,27000
151,2018,1,18000
153,2000,3,5600
153,2010,2,5700
153,2018,2,3800
155,2000,0,100
155,2010,0,100
155,2018,0,100
158,2000,8,85000
158,2010,6,56000
158,2018,5,23000
159,2000,0,4500
159,2010,0,12000
159,2018,1,6100
162,2000,6,80000
162,2010,5,48000
162,2018,4,24000
164,2000,0,500
164,2010,0,500
164,2018,0,200
165,2000,0,840
165,2010,0,1800
165,2018,0,1300
167,2000,0,6100
167,2010,0,8500
167,2018,0,4700
168,2000,0,100
168,2010,0,200
168,2018,0,500
169,2000,16,62000
169,2010,13,26000
169,2018,11,17000
170,2000,25,120000
170,2010,15,54000
170,2018,12,22000
