id_pays,annee,mortalite_min,mortalite_median,mortalite_max,id_unite
1,2018,200,500,610,1
3,2018,200,200,200,1
4,2018,9500,14000,18000,1
5,2018,1300,1700,2100,1
6,2018,100,200,200,1
7,2018,200,200,500,1
10,2018,200,200,500,1
12,2018,500,580,680,1
13,2018,100,100,100,1
14,2018,200,500,500,1
16,2018,200,200,500,1
17,2018,1100,2200,4400,1
18,2018,100,100,200,1
19,2018,550,670,760,1
20,2018,100,100,100,1
21,2018,4100,4800,5700,1
22,2018,11000,15000,19000,1
24,2018,100,100,100,1
25,2018,2400,3300,4400,1
26,2018,1400,1900,2500,1
27,2018,100,100,100,1
28,2018,920,1300,1900,1
29,2018,15000,18000,21000,1
31,2018,3700,4800,6400,1
32,2018,2000,3100,4500,1
33,2018,500,590,770,1
36,2018,100,100,100,1
37,2018,2800,4000,5400,1
38,2018,200,500,500,1
39,2018,11000,16000,23000,1
40,2018,100,100,100,1
41,2018,500,500,580,1
43,2018,100,100,100,1
45,2018,10000,13000,17000,1
46,2018,100,100,100,1
47,2018,500,500,550,1
48,2018,750,1200,1900,1
49,2018,500,620,1500,1
50,2018,500,500,500,1
51,2018,500,700,1000,1
52,2018,1200,1800,2600,1
53,2018,500,500,890,1
54,2018,100,100,200,1
55,2018,2000,2400,2900,1
56,2018,6800,11000,19000,1
58,2018,100,100,100,1
59,2018,500,500,540,1
60,2018,790,1200,1700,1
61,2018,650,980,1400,1
62,2018,200,500,500,1
63,2018,500,500,670,1
64,2018,11000,14000,18000,1
66,2018,2000,2200,2400,1
67,2018,3300,4300,5400,1
68,2018,1400,1800,2100,1
69,2018,100,200,200,1
70,2018,2200,2700,3600,1
71,2018,540,780,1100,1
72,2018,100,100,100,1
73,2018,100,100,100,1
75,2018,33000,38000,43000,1
76,2018,1400,2600,5100,1
77,2018,100,100,100,1
78,2018,100,100,100,1
79,2018,510,710,930,1
80,2018,1300,1500,1800,1
82,2018,100,100,100,1
83,2018,500,500,530,1
84,2018,18000,25000,38000,1
85,2018,100,100,100,1
