id,id_pays,valeur,id_unite,id_type_traitement
1,1,13,2,1
2,3,81,2,1
3,4,27,2,1
4,5,61,2,1
5,6,53,2,1
6,7,83,2,1
7,10,52,2,1
8,12,22,2,1
9,13,50,2,1
10,14,59,2,1
11,16,28,2,1
12,17,61,2,1
13,18,37,2,1
14,19,44,2,1
15,20,67,2,1
16,21,83,2,1
17,22,66,2,1
18,24,41,2,1
19,25,62,2,1
20,26,80,2,1
21,27,89,2,1
22,28,81,2,1
23,29,52,2,1
24,31,36,2,1
25,32,51,2,1
26,33,63,2,1
27,35,73,2,1
28,36,79,2,1
29,37,35,2,1
30,38,49,2,1
31,39,55,2,1
32,40,75,2,1
33,41,72,2,1
34,43,60,2,1
35,45,57,2,1
36,46,89,2,1
37,47,30,2,1
38,48,56,2,1
39,49,57,2,1
40,50,31,2,1
41,51,47,2,1
42,52,34,2,1
43,53,51,2,1
44,54,59,2,1
45,55,86,2,1
46,56,65,2,1
47,58,76,2,1
48,59,83,2,1
49,60,67,2,1
50,61,29,2,1
51,62,49,2,1
52,63,80,2,1
53,64,34,2,1
54,66,43,2,1
55,67,40,2,1
56,68,33,2,1
57,69,68,2,1
58,70,58,2,1
59,71,50,2,1
60,72,56,2,1
61,73,79,2,1
62,75,17,2,1
63,76,20,2,1
64,77,80,2,1
65,79,91,2,1
66,80,31,2,1
67,81,80,2,1
68,82,84,2,1
69,83,58,2,1
70,84,68,2,1
71,85,62,2,1
72,86,43,2,1
73,87,54,2,1
74,88,45,2,1
75,89,60,2,1
76,90,61,2,1
77,91,35,2,1
78,92,44,2,1
79,94,77,2,1
80,95,9,2,1
81,96,78,2,1
82,97,48,2,1
83,99,31,2,1
84,101,54,2,1
85,102,22,2,1
86,103,70,2,1
87,104,32,2,1
88,105,40,2,1
89,106,65,2,1
90,107,56,2,1
91,108,70,2,1
92,109,92,2,1
93,110,56,2,1
94,112,73,2,1
95,113,53,2,1
96,114,54,2,1
97,115,53,2,1
98,116,82,2,1
99,117,41,2,1
100,118,10,2,1
101,119,54,2,1
102,120,65,2,1
103,121,40,2,1
104,122,73,2,1
105,123,44,2,1
106,125,90,2,1
107,128,34,2,1
108,129,54,2,1
109,130,67,2,1
110,132,87,2,1
111,134,63,2,1
112,135,65,2,1
113,136,41,2,1
114,137,78,2,1
115,138,54,2,1
116,140,30,2,1
117,141,62,2,1
118,142,16,2,1
119,143,84,2,1
120,144,45,2,1
121,145,15,2,1
122,146,52,2,1
123,149,20,2,1
124,150,46,2,1
125,151,75,2,1
126,153,60,2,1
127,155,39,2,1
128,158,72,2,1
129,159,52,2,1
130,162,71,2,1
131,164,58,2,1
132,165,51,2,1
133,167,65,2,1
134,168,21,2,1
135,169,78,2,1
136,170,88,2,1
137,1,17,2,2
138,3,95,2,2
139,4,13,2,2
140,5,92,2,2
141,10,21,2,2
142,12,33,2,2
143,14,88,2,2
144,16,34,2,2
145,17,44,2,2
146,19,40,2,2
147,21,38,2,2
148,25,21,2,2
149,26,30,2,2
150,28,92,2,2
151,29,24,2,2
152,31,23,2,2
153,32,16,2,2
154,33,56,2,2
155,35,41,2,2
156,37,25,2,2
157,39,40,2,2
158,41,34,2,2
159,45,25,2,2
160,47,10,2,2
161,48,55,2,2
162,49,82,2,2
163,50,39,2,2
164,51,24,2,2
165,52,14,2,2
166,53,37,2,2
167,55,76,2,2
168,56,59,2,2
169,60,57,2,2
170,61,30,2,2
171,64,20,2,2
172,66,36,2,2
173,67,20,2,2
174,68,6,2,2
175,69,38,2,2
176,70,40,2,2
177,71,41,2,2
178,75,22,2,2
179,76,58,2,2
180,80,51,2,2
181,83,95,2,2
182,84,61,2,2
183,86,95,2,2
184,87,40,2,2
185,90,70,2,2
186,91,18,2,2
187,92,33,2,2
188,95,5,2,2
189,96,61,2,2
190,97,94,2,2
191,99,18,2,2
192,101,54,2,2
193,102,45,2,2
194,106,95,2,2
195,107,60,2,2
196,108,80,2,2
197,109,78,2,2
198,110,91,2,2
199,113,55,2,2
200,114,52,2,2
201,115,35,2,2
202,118,11,2,2
203,119,76,2,2
204,120,49,2,2
205,121,43,2,2
206,122,48,2,2
207,123,20,2,2
208,128,40,2,2
209,130,95,2,2
210,132,63,2,2
211,134,31,2,2
212,136,17,2,2
213,140,14,2,2
214,141,63,2,2
215,142,9,2,2
216,145,15,2,2
217,146,72,2,2
218,150,95,2,2
219,151,83,2,2
220,153,34,2,2
221,158,66,2,2
222,159,95,2,2
223,162,65,2,2
224,164,64,2,2
225,165,93,2,2
226,167,92,2,2
227,168,33,2,2
228,169,79,2,2
229,170,76,2,2
