id_pays ,population_hiv_median ,population_hiv_min ,population_hiv_max ,couverture_median ,couverture_min ,couverture_max ,id_type_traitement
      1 ,                 7200 ,              4100 ,             11000 ,               13 ,             7 ,            20 ,                 1
      3 ,                16000 ,             15000 ,             17000 ,               81 ,            75 ,            86 ,                 1
      4 ,               330000 ,            290000 ,            390000 ,               27 ,            23 ,            31 ,                 1
      5 ,               140000 ,            130000 ,            150000 ,               61 ,            55 ,            67 ,                 1
      6 ,                 3500 ,              3000 ,              4400 ,               53 ,            44 ,            65 ,                 1
      7 ,                28000 ,             23000 ,             31000 ,               83 ,            70 ,            93 ,                 1
     10 ,                 6000 ,              5300 ,              6700 ,               52 ,            45 ,            58 ,                 1
     12 ,                14000 ,             12000 ,             16000 ,               22 ,            19 ,            25 ,                 1
     13 ,                 3000 ,              2700 ,              3400 ,               50 ,            44 ,            57 ,                 1
     14 ,                27000 ,             22000 ,             34000 ,               59 ,            48 ,            75 ,                 1
     16 ,                 4900 ,              4400 ,              5400 ,               28 ,            26 ,            31 ,                 1
     17 ,                73000 ,             48000 ,            120000 ,               61 ,            40 ,            95 ,                 1
     18 ,                 1300 ,               700 ,              2700 ,               37 ,            20 ,            78 ,                 1
     19 ,                22000 ,             20000 ,             24000 ,               44 ,            40 ,            48 ,                 1
     20 ,                  500 ,               500 ,               500 ,               67 ,            57 ,            78 ,                 1
     21 ,               370000 ,            330000 ,            400000 ,               83 ,            75 ,            90 ,                 1
     22 ,               900000 ,            690000 ,           1100000 ,               66 ,            51 ,            82 ,                 1
     24 ,                 3500 ,              3000 ,              4100 ,               41 ,            35 ,            48 ,                 1
     25 ,                96000 ,             78000 ,            120000 ,               62 ,            50 ,            75 ,                 1
     26 ,                82000 ,             71000 ,             97000 ,               80 ,            69 ,            94 ,                 1
     27 ,                 2400 ,              2100 ,              2900 ,               89 ,            75 ,            95 ,                 1
     28 ,                73000 ,             64000 ,             84000 ,               81 ,            71 ,            93 ,                 1
     29 ,               540000 ,            470000 ,            590000 ,               52 ,            46 ,            57 ,                 1
     31 ,               110000 ,             90000 ,            140000 ,               36 ,            30 ,            45 ,                 1
     32 ,               120000 ,             94000 ,            150000 ,               51 ,            40 ,            63 ,                 1
     33 ,                71000 ,             63000 ,             78000 ,               63 ,            56 ,            70 ,                 1
     35 ,               160000 ,            130000 ,            180000 ,               73 ,            60 ,            86 ,                 1
     36 ,                  200 ,               100 ,               500 ,               79 ,            39 ,            95 ,                 1
     37 ,                89000 ,             69000 ,            120000 ,               35 ,            27 ,            46 ,                 1
     38 ,                15000 ,             13000 ,             17000 ,               49 ,            44 ,            54 ,                 1
     39 ,               460000 ,            360000 ,            580000 ,               55 ,            44 ,            70 ,                 1
     40 ,                 1600 ,              1400 ,              1700 ,               75 ,            67 ,            83 ,                 1
     41 ,                31000 ,             24000 ,             37000 ,               72 ,            55 ,            85 ,                 1
     43 ,                 4400 ,              3700 ,              5000 ,               60 ,            51 ,            68 ,                 1
     45 ,               450000 ,            370000 ,            530000 ,               57 ,            47 ,            67 ,                 1
     46 ,                 6200 ,              5600 ,              7000 ,               89 ,            79 ,            95 ,                 1
     47 ,                 8800 ,              7100 ,             11000 ,               30 ,            25 ,            38 ,                 1
     48 ,                70000 ,             54000 ,             92000 ,               56 ,            43 ,            73 ,                 1
     49 ,                44000 ,             29000 ,             71000 ,               57 ,            38 ,            93 ,                 1
     50 ,                22000 ,             20000 ,             24000 ,               31 ,            28 ,            33 ,                 1
     51 ,                25000 ,             21000 ,             30000 ,               47 ,            39 ,            55 ,                 1
     52 ,                62000 ,             50000 ,             81000 ,               34 ,            27 ,            44 ,                 1
     53 ,                18000 ,             13000 ,             24000 ,               51 ,            38 ,            68 ,                 1
     54 ,                 7400 ,              6600 ,              8200 ,               59 ,            53 ,            66 ,                 1
     55 ,               210000 ,            190000 ,            220000 ,               86 ,            80 ,            94 ,                 1
     56 ,               690000 ,            530000 ,            900000 ,               65 ,            50 ,            85 ,                 1
     58 ,                 4000 ,              3100 ,              4900 ,               76 ,            60 ,            95 ,                 1
     59 ,               180000 ,            150000 ,            210000 ,               83 ,            69 ,            95 ,                 1
     60 ,                53000 ,             43000 ,             67000 ,               67 ,            54 ,            85 ,                 1
     61 ,                26000 ,             21000 ,             33000 ,               29 ,            24 ,            38 ,                 1
     62 ,                 9400 ,              8100 ,             11000 ,               49 ,            42 ,            57 ,                 1
     63 ,                87000 ,             71000 ,            100000 ,               80 ,            65 ,            93 ,                 1
     64 ,               330000 ,            280000 ,            390000 ,               34 ,            28 ,            39 ,                 1
     66 ,                47000 ,             43000 ,             51000 ,               43 ,            40 ,            47 ,                 1
     67 ,               120000 ,            100000 ,            140000 ,               40 ,            34 ,            48 ,                 1
     68 ,                44000 ,             39000 ,             49000 ,               33 ,            29 ,            37 ,                 1
     69 ,                 8200 ,              7200 ,              9400 ,               68 ,            60 ,            78 ,                 1
     70 ,               160000 ,            140000 ,            180000 ,               58 ,            52 ,            65 ,                 1
     71 ,                23000 ,             18000 ,             28000 ,               50 ,            40 ,            61 ,                 1
     72 ,                 3700 ,              3200 ,              4200 ,               56 ,            48 ,            63 ,                 1
     73 ,                  500 ,               500 ,               500 ,               79 ,            71 ,            87 ,                 1
     75 ,               640000 ,            550000 ,            750000 ,               17 ,            15 ,            20 ,                 1
     76 ,                61000 ,             34000 ,            120000 ,               20 ,            11 ,            39 ,                 1
     77 ,                 7200 ,              6200 ,              8000 ,               80 ,            69 ,            89 ,                 1
     79 ,               130000 ,            110000 ,            140000 ,               91 ,            78 ,            95 ,                 1
     80 ,                40000 ,             35000 ,             46000 ,               31 ,            27 ,            36 ,                 1
     81 ,                30000 ,             25000 ,             34000 ,               80 ,            68 ,            92 ,                 1
     82 ,                  500 ,               500 ,               500 ,               84 ,            76 ,            95 ,                 1
     83 ,                26000 ,             24000 ,             27000 ,               58 ,            54 ,            62 ,                 1
     84 ,              1600000 ,           1300000 ,           1900000 ,               68 ,            58 ,            82 ,                 1
     85 ,                  640 ,               580 ,               700 ,               62 ,            55 ,            67 ,                 1
     86 ,                 8500 ,              6500 ,             12000 ,               43 ,            33 ,            59 ,                 1
     87 ,                12000 ,             11000 ,             14000 ,               54 ,            48 ,            62 ,                 1
     88 ,                 5300 ,              4800 ,              5900 ,               45 ,            41 ,            50 ,                 1
     89 ,                 2500 ,              2200 ,              2800 ,               60 ,            53 ,            67 ,                 1
     90 ,               340000 ,            320000 ,            360000 ,               61 ,            57 ,            65 ,                 1
     91 ,                39000 ,             36000 ,             44000 ,               35 ,            32 ,            39 ,                 1
     92 ,                 9200 ,              8300 ,             10000 ,               44 ,            40 ,            49 ,                 1
     94 ,                 1200 ,              1000 ,              1300 ,               77 ,            67 ,            86 ,                 1
     95 ,                39000 ,             30000 ,             55000 ,                9 ,             7 ,            13 ,                 1
     96 ,              1000000 ,            940000 ,           1100000 ,               78 ,            70 ,            84 ,                 1
     97 ,                87000 ,             77000 ,             98000 ,               48 ,            42 ,            53 ,                 1
     99 ,               150000 ,            120000 ,            190000 ,               31 ,            25 ,            39 ,                 1
    101 ,                 5600 ,              4500 ,              7200 ,               54 ,            44 ,            69 ,                 1
    102 ,                13000 ,             10000 ,             15000 ,               22 ,            18 ,            26 ,                 1
