Reported number of people receiving ART,Estimated number of people living with HIV,Estimated number of people living with HIV_median,Estimated number of people living with HIV_min,Estimated number of people living with HIV_max,Estimated ART coverage among people living with HIV (%)_median,Estimated ART coverage among people living with HIV (%)_min,Estimated ART coverage among people living with HIV (%)_max,WHO Region,id_pays,region_who,median,min,max,id_type_traitement,Reported number of children receiving ART,Estimated number of children needing ART based on WHO methods,Estimated number of children needing ART based on WHO methods_median,Estimated number of children needing ART based on WHO methods_min,Estimated number of children needing ART based on WHO methods_max,Estimated ART coverage among children (%)_median,Estimated ART coverage among children (%)_min,Estimated ART coverage among children (%)_max
920                                     ,7200[4100–11000]                           ,                                             7200 ,                                          4100 ,                                         11000 ,                                                            13 ,                                                          7 ,                                                         20 ,Eastern Mediterranean,1,eastern mediterranean,13.0,7.0,20.0,1,,,,,,,,
580                                     ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,2,europe,,,,1,,,,,,,,
12800                                   ,16000[15000–17000]                         ,                                            16000 ,                                         15000 ,                                         17000 ,                                                            81 ,                                                         75 ,                                                         86 ,Africa,3,africa,81.0,75.0,86.0,1,,,,,,,,
88700                                   ,330000[290000–390000]                      ,                                           330000 ,                                        290000 ,                                        390000 ,                                                            27 ,                                                         23 ,                                                         31 ,Africa,4,africa,27.0,23.0,31.0,1,,,,,,,,
85500                                   ,140000[130000–150000]                      ,                                           140000 ,                                        130000 ,                                        150000 ,                                                            61 ,                                                         55 ,                                                         67 ,Americas,5,americas,61.0,55.0,67.0,1,,,,,,,,
1900                                    ,3500[3000–4400]                            ,                                             3500 ,                                          3000 ,                                          4400 ,                                                            53 ,                                                         44 ,                                                         65 ,Europe,6,europe,53.0,44.0,65.0,1,,,,,,,,
22800                                   ,28000[23000–31000]                         ,                                            28000 ,                                         23000 ,                                         31000 ,                                                            83 ,                                                         70 ,                                                         93 ,Western Pacific,7,western pacific,83.0,70.0,93.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,8,europe,,,,1,,,,,,,,
4400                                    ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,9,europe,,,,1,,,,,,,,
3100                                    ,6000[5300–6700]                            ,                                             6000 ,                                          5300 ,                                          6700 ,                                                            52 ,                                                         45 ,                                                         58 ,Americas,10,americas,52.0,45.0,58.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Eastern Mediterranean,11,eastern mediterranean,,,,1,,,,,,,,
3000                                    ,14000[12000–16000]                         ,                                            14000 ,                                         12000 ,                                         16000 ,                                                            22 ,                                                         19 ,                                                         25 ,South-East Asia,12,south-east asia,22.0,19.0,25.0,1,,,,,,,,
1500                                    ,3000[2700–3400]                            ,                                             3000 ,                                          2700 ,                                          3400 ,                                                            50 ,                                                         44 ,                                                         57 ,Americas,13,americas,50.0,44.0,57.0,1,,,,,,,,
15500                                   ,27000[22000–34000]                         ,                                            27000 ,                                         22000 ,                                         34000 ,                                                            59 ,                                                         48 ,                                                         75 ,Europe,14,europe,59.0,48.0,75.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,15,europe,,,,1,,,,,,,,
1400                                    ,4900[4400–5400]                            ,                                             4900 ,                                          4400 ,                                          5400 ,                                                            28 ,                                                         26 ,                                                         31 ,Americas,16,americas,28.0,26.0,31.0,1,,,,,,,,
44200                                   ,73000[48000–120000]                        ,                                            73000 ,                                         48000 ,                                        120000 ,                                                            61 ,                                                         40 ,                                                         95 ,Africa,17,africa,61.0,40.0,95.0,1,,,,,,,,
480                                     ,1300[700–2700]                             ,                                             1300 ,                                           700 ,                                          2700 ,                                                            37 ,                                                         20 ,                                                         78 ,South-East Asia,18,south-east asia,37.0,20.0,78.0,1,,,,,,,,
9900                                    ,22000[20000–24000]                         ,                                            22000 ,                                         20000 ,                                         24000 ,                                                            44 ,                                                         40 ,                                                         48 ,Americas,19,americas,44.0,40.0,48.0,1,,,,,,,,
220                                     ,500[500–500]                               ,                                              500 ,                                           500 ,                                           500 ,                                                            67 ,                                                         57 ,                                                         78 ,Europe,20,europe,67.0,57.0,78.0,1,,,,,,,,
307000                                  ,370000[330000–400000]                      ,                                           370000 ,                                        330000 ,                                        400000 ,                                                            83 ,                                                         75 ,                                                         90 ,Africa,21,africa,83.0,75.0,90.0,1,,,,,,,,
593000                                  ,900000[690000–1100000]                     ,                                           900000 ,                                        690000 ,                                       1100000 ,                                                            66 ,                                                         51 ,                                                         82 ,Americas,22,americas,66.0,51.0,82.0,1,,,,,,,,
150                                     ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Western Pacific,23,western pacific,,,,1,,,,,,,,
1500                                    ,3500[3000–4100]                            ,                                             3500 ,                                          3000 ,                                          4100 ,                                                            41 ,                                                         35 ,                                                         48 ,Europe,24,europe,41.0,35.0,48.0,1,,,,,,,,
59300                                   ,96000[78000–120000]                        ,                                            96000 ,                                         78000 ,                                        120000 ,                                                            62 ,                                                         50 ,                                                         75 ,Africa,25,africa,62.0,50.0,75.0,1,,,,,,,,
65500                                   ,82000[71000–97000]                         ,                                            82000 ,                                         71000 ,                                         97000 ,                                                            80 ,                                                         69 ,                                                         94 ,Africa,26,africa,80.0,69.0,94.0,1,,,,,,,,
2200                                    ,2400[2100–2900]                            ,                                             2400 ,                                          2100 ,                                          2900 ,                                                            89 ,                                                         75 ,                                                         95 ,Africa,27,africa,89.0,75.0,95.0,1,,,,,,,,
59500                                   ,73000[64000–84000]                         ,                                            73000 ,                                         64000 ,                                         84000 ,                                                            81 ,                                                         71 ,                                                         93 ,Western Pacific,28,western pacific,81.0,71.0,93.0,1,,,,,,,,
281000                                  ,540000[470000–590000]                      ,                                           540000 ,                                        470000 ,                                        590000 ,                                                            52 ,                                                         46 ,                                                         57 ,Africa,29,africa,52.0,46.0,57.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Americas,30,americas,,,,1,,,,,,,,
39600                                   ,110000[90000–140000]                       ,                                           110000 ,                                         90000 ,                                        140000 ,                                                            36 ,                                                         30 ,                                                         45 ,Africa,31,africa,36.0,30.0,45.0,1,,,,,,,,
61400                                   ,120000[94000–150000]                       ,                                           120000 ,                                         94000 ,                                        150000 ,                                                            51 ,                                                         40 ,                                                         63 ,Africa,32,africa,51.0,40.0,63.0,1,,,,,,,,
