id;nom;region;iso_code
1;Afghanistan;Eastern Mediterranean;
2;Albania;Europe;
3;Algeria;Africa;
4;Angola;Africa;
5;Argentina;Americas;
6;Armenia;Europe;
7;Australia;Western Pacific;
8;Austria;Europe;
9;Azerbaijan;Europe;
10;Bahamas;Americas;
11;Bahrain;Eastern Mediterranean;
12;Bangladesh;South-East Asia;
13;Barbados;Americas;
14;Belarus;Europe;
15;Belgium;Europe;
16;Belize;Americas;
17;Benin;Africa;
18;Bhutan;South-East Asia;
19;Bolivia;Americas;
20;Bosnia and Herzegovina;Europe;
21;Botswana;Africa;
22;Brazil;Americas;
23;Brunei Darussalam;Western Pacific;
24;Bulgaria;Europe;
25;Burkina Faso;Africa;
26;Burundi;Africa;
27;Cabo Verde;Africa;
28;Cambodia;Western Pacific;
29;Cameroon;Africa;
30;Canada;Americas;
31;Central African Republic;Africa;
32;Chad;Africa;
33;Chile;Americas;
34;China;Western Pacific;
35;Colombia;Americas;
36;Comoros;Africa;
37;Congo;Americas;
38;Costa Rica;Americas;
40;Croatia;Europe;
41;Cuba;Americas;
42;Cyprus;Europe;
43;Czechia;Europe;
39;Côte d'Ivoire;Africa;
45;DR Congo;Africa;
46;Denmark;Europe;
47;Djibouti;Eastern Mediterranean;
48;Dominican Republic;Americas;
49;Ecuador;Americas;
50;Egypt;Eastern Mediterranean;
51;El Salvador;Americas;
52;Equatorial Guinea;Africa;
53;Eritrea;Africa;
54;Estonia;Europe;
55;Eswatini;Africa;
56;Ethiopia;Africa;
57;Fiji;Western Pacific;
58;Finland;Europe;
59;France;Europe;
60;Gabon;Africa;
61;Gambia;Africa;
62;Georgia;Europe;
63;Germany;Europe;
64;Ghana;Africa;
65;Greece;Europe;
66;Guatemala;Americas;
67;Guinea;Africa;
68;Guinea-Bissau;Africa;
69;Guyana;Americas;
70;Haiti;Americas;
71;Honduras;Americas;
72;Hungary;Europe;
73;Iceland;Europe;
74;India;South-East Asia;
75;Indonesia;South-East Asia;
76;Iran;Eastern Mediterranean;
77;Ireland;Europe;
78;Israel;Europe;
79;Italy;Europe;
80;Jamaica;Americas;
81;Japan;Western Pacific;
82;Jordan;Eastern Mediterranean;
83;Kazakhstan;Europe;
84;Kenya;Africa;
85;Kuwait;Eastern Mediterranean;
86;Kyrgyzstan;Europe;
87;Laos;Western Pacific;
88;Latvia;Europe;
89;Lebanon;Eastern Mediterranean;
90;Lesotho;Africa;
91;Liberia;Africa;
92;Libya;Eastern Mediterranean;
93;Lithuania;Europe;
94;Luxembourg;Europe;
95;Madagascar;Africa;
96;Malawi;Africa;
97;Malaysia;Western Pacific;
98;Maldives;South-East Asia;
99;Mali;Africa;
100;Malta;Europe;
101;Mauritania;Africa;
102;Mauritius;Africa;
103;Mexico;Americas;
128;Moldova;Europe;
104;Mongolia;Western Pacific;
105;Montenegro;Europe;
106;Morocco;Eastern Mediterranean;
107;Mozambique;Africa;
108;Myanmar;South-East Asia;
109;Namibia;Africa;
110;Nepal;South-East Asia;
111;Netherlands;Europe;
112;New Zealand;Western Pacific;
113;Nicaragua;Americas;
114;Niger;Africa;
115;Nigeria;Africa;
44;North Korea;Western Pacific;
129;North Macedonia;Europe;
116;Norway;Europe;
117;Oman;Eastern Mediterranean;
118;Pakistan;Eastern Mediterranean;
119;Panama;Americas;
120;Papua New Guinea;Western Pacific;
121;Paraguay;Americas;
122;Peru;Americas;
123;Philippines;Western Pacific;
124;Poland;Europe;
125;Portugal;Europe;
126;Qatar;Eastern Mediterranean;
130;Romania;Europe;
131;Russia;Europe;
132;Rwanda;Africa;
133;Saudi Arabia;Eastern Mediterranean;
134;Senegal;Africa;
135;Serbia;Europe;
136;Sierra Leone;Africa;
137;Singapore;Western Pacific;
138;Slovakia;Europe;
139;Slovenia;Europe;
140;Somalia;Eastern Mediterranean;
141;South Africa;Africa;
127;South Korea;Western Pacific;
142;South Sudan;Africa;
143;Spain;Europe;
144;Sri Lanka;South-East Asia;
145;Sudan;Eastern Mediterranean;
146;Suriname;Americas;
147;Sweden;Europe;
148;Switzerland;Europe;
149;Syria;Eastern Mediterranean;
150;Tajikistan;Europe;
162;Tanzania;Africa;
151;Thailand;South-East Asia;
152;Timor-Leste;South-East Asia;
153;Togo;Africa;
154;Trinidad and Tobago;Americas;
155;Tunisia;Eastern Mediterranean;
156;Turkey;Europe;
157;Turkmenistan;Europe;
158;Uganda;Africa;
159;Ukraine;Europe;
160;United Arab Emirates;Eastern Mediterranean;
161;United Kingdom;Europe;
163;United States;Americas;
164;Uruguay;Americas;
165;Uzbekistan;Europe;
166;Venezuela;Americas;
167;Viet Nam;Western Pacific;
168;Yemen;Eastern Mediterranean;
169;Zambia;Africa;
170;Zimbabwe;Africa;
