id;id_pays;pays;annee;valeur;type_valeur;confiance_min;confiance_max;confiance_median;qualite_donnees;fichier_source
2041;1;Afghanistan;2000;100.0;count;100.0;500.0;100.0;good;no_of_deaths_by_country_clean.csv
1871;1;Afghanistan;2010;500.0;count;200.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1701;1;Afghanistan;2018;500.0;count;200.0;610.0;500.0;good;no_of_deaths_by_country_clean.csv
2042;2;Albania;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1872;2;Albania;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1702;2;Albania;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2043;3;Algeria;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1873;3;Algeria;2010;200.0;count;100.0;200.0;200.0;good;no_of_deaths_by_country_clean.csv
1703;3;Algeria;2018;200.0;count;200.0;200.0;200.0;good;no_of_deaths_by_country_clean.csv
2044;4;Angola;2000;4800.0;count;3500.0;6400.0;4800.0;good;no_of_deaths_by_country_clean.csv
1874;4;Angola;2010;10000.0;count;7300.0;13000.0;10000.0;good;no_of_deaths_by_country_clean.csv
1704;4;Angola;2018;14000.0;count;9500.0;18000.0;14000.0;good;no_of_deaths_by_country_clean.csv
2045;5;Argentina;2000;1400.0;count;1200.0;1700.0;1400.0;good;no_of_deaths_by_country_clean.csv
1875;5;Argentina;2010;1600.0;count;1300.0;2000.0;1600.0;good;no_of_deaths_by_country_clean.csv
1705;5;Argentina;2018;1700.0;count;1300.0;2100.0;1700.0;good;no_of_deaths_by_country_clean.csv
2046;6;Armenia;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1876;6;Armenia;2010;200.0;count;200.0;200.0;200.0;good;no_of_deaths_by_country_clean.csv
1706;6;Armenia;2018;200.0;count;100.0;200.0;200.0;good;no_of_deaths_by_country_clean.csv
2047;7;Australia;2000;500.0;count;200.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1877;7;Australia;2010;500.0;count;200.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1707;7;Australia;2018;200.0;count;200.0;500.0;200.0;good;no_of_deaths_by_country_clean.csv
2048;8;Austria;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1878;8;Austria;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1708;8;Austria;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2049;9;Azerbaijan;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1879;9;Azerbaijan;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1709;9;Azerbaijan;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2050;10;Bahamas;2000;500.0;count;500.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1880;10;Bahamas;2010;200.0;count;200.0;500.0;200.0;good;no_of_deaths_by_country_clean.csv
1710;10;Bahamas;2018;200.0;count;200.0;500.0;200.0;good;no_of_deaths_by_country_clean.csv
2051;11;Bahrain;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1881;11;Bahrain;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1711;11;Bahrain;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2052;12;Bangladesh;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1882;12;Bangladesh;2010;500.0;count;500.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1712;12;Bangladesh;2018;580.0;count;500.0;680.0;580.0;good;no_of_deaths_by_country_clean.csv
2053;13;Barbados;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1883;13;Barbados;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1713;13;Barbados;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2054;14;Belarus;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1884;14;Belarus;2010;200.0;count;100.0;500.0;200.0;good;no_of_deaths_by_country_clean.csv
1714;14;Belarus;2018;500.0;count;200.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
2055;15;Belgium;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1885;15;Belgium;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1715;15;Belgium;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2056;16;Belize;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1886;16;Belize;2010;200.0;count;100.0;200.0;200.0;good;no_of_deaths_by_country_clean.csv
1716;16;Belize;2018;200.0;count;200.0;500.0;200.0;good;no_of_deaths_by_country_clean.csv
2057;17;Benin;2000;2400.0;count;1200.0;4900.0;2400.0;good;no_of_deaths_by_country_clean.csv
1887;17;Benin;2010;2000.0;count;980.0;4100.0;2000.0;good;no_of_deaths_by_country_clean.csv
1717;17;Benin;2018;2200.0;count;1100.0;4400.0;2200.0;good;no_of_deaths_by_country_clean.csv
2058;18;Bhutan;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1888;18;Bhutan;2010;100.0;count;100.0;500.0;100.0;good;no_of_deaths_by_country_clean.csv
1718;18;Bhutan;2018;100.0;count;100.0;200.0;100.0;good;no_of_deaths_by_country_clean.csv
2059;19;Bolivia;2000;670.0;count;500.0;830.0;670.0;good;no_of_deaths_by_country_clean.csv
1889;19;Bolivia;2010;1600.0;count;1500.0;1800.0;1600.0;good;no_of_deaths_by_country_clean.csv
1719;19;Bolivia;2018;670.0;count;550.0;760.0;670.0;good;no_of_deaths_by_country_clean.csv
2060;20;Bosnia and Herzegovina;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1890;20;Bosnia and Herzegovina;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1720;20;Bosnia and Herzegovina;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2061;21;Botswana;2000;15000.0;count;13000.0;18000.0;15000.0;good;no_of_deaths_by_country_clean.csv
1891;21;Botswana;2010;7300.0;count;6500.0;8000.0;7300.0;good;no_of_deaths_by_country_clean.csv
1721;21;Botswana;2018;4800.0;count;4100.0;5700.0;4800.0;good;no_of_deaths_by_country_clean.csv
2062;22;Brazil;2000;15000.0;count;11000.0;20000.0;15000.0;good;no_of_deaths_by_country_clean.csv
1892;22;Brazil;2010;15000.0;count;11000.0;19000.0;15000.0;good;no_of_deaths_by_country_clean.csv
1722;22;Brazil;2018;15000.0;count;11000.0;19000.0;15000.0;good;no_of_deaths_by_country_clean.csv
2063;23;Brunei Darussalam;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1893;23;Brunei Darussalam;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1723;23;Brunei Darussalam;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2064;24;Bulgaria;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1894;24;Bulgaria;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1724;24;Bulgaria;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2065;25;Burkina Faso;2000;12000.0;count;9300.0;15000.0;12000.0;good;no_of_deaths_by_country_clean.csv
1895;25;Burkina Faso;2010;4800.0;count;3600.0;6300.0;4800.0;good;no_of_deaths_by_country_clean.csv
1725;25;Burkina Faso;2018;3300.0;count;2400.0;4400.0;3300.0;good;no_of_deaths_by_country_clean.csv
2066;26;Burundi;2000;11000.0;count;7800.0;13000.0;11000.0;good;no_of_deaths_by_country_clean.csv
1896;26;Burundi;2010;5200.0;count;4100.0;6400.0;5200.0;good;no_of_deaths_by_country_clean.csv
1726;26;Burundi;2018;1900.0;count;1400.0;2500.0;1900.0;good;no_of_deaths_by_country_clean.csv
2067;27;Cabo Verde;2000;200.0;count;100.0;200.0;200.0;good;no_of_deaths_by_country_clean.csv
1897;27;Cabo Verde;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1727;27;Cabo Verde;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2068;28;Cambodia;2000;4500.0;count;3200.0;5800.0;4500.0;good;no_of_deaths_by_country_clean.csv
1898;28;Cambodia;2010;2500.0;count;1900.0;3400.0;2500.0;good;no_of_deaths_by_country_clean.csv
1728;28;Cambodia;2018;1300.0;count;920.0;1900.0;1300.0;good;no_of_deaths_by_country_clean.csv
2069;29;Cameroon;2000;19000.0;count;15000.0;24000.0;19000.0;good;no_of_deaths_by_country_clean.csv
1899;29;Cameroon;2010;22000.0;count;19000.0;25000.0;22000.0;good;no_of_deaths_by_country_clean.csv
1729;29;Cameroon;2018;18000.0;count;15000.0;21000.0;18000.0;good;no_of_deaths_by_country_clean.csv
2070;30;Canada;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1900;30;Canada;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1730;30;Canada;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2071;31;Central African Republic;2000;11000.0;count;8400.0;14000.0;11000.0;good;no_of_deaths_by_country_clean.csv
1901;31;Central African Republic;2010;7800.0;count;6400.0;9400.0;7800.0;good;no_of_deaths_by_country_clean.csv
1731;31;Central African Republic;2018;4800.0;count;3700.0;6400.0;4800.0;good;no_of_deaths_by_country_clean.csv
2072;32;Chad;2000;5600.0;count;3800.0;7700.0;5600.0;good;no_of_deaths_by_country_clean.csv
1902;32;Chad;2010;3500.0;count;2600.0;4800.0;3500.0;good;no_of_deaths_by_country_clean.csv
1732;32;Chad;2018;3100.0;count;2000.0;4500.0;3100.0;good;no_of_deaths_by_country_clean.csv
2073;33;Chile;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1903;33;Chile;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1733;33;Chile;2018;590.0;count;500.0;770.0;590.0;good;no_of_deaths_by_country_clean.csv
2074;34;China;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1904;34;China;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1734;34;China;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2075;35;Colombia;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1905;35;Colombia;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1735;35;Colombia;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2076;36;Comoros;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1906;36;Comoros;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1736;36;Comoros;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2077;37;Congo;2000;6100.0;count;4700.0;7800.0;6100.0;good;no_of_deaths_by_country_clean.csv
1907;37;Congo;2010;3900.0;count;3100.0;4800.0;3900.0;good;no_of_deaths_by_country_clean.csv
1737;37;Congo;2018;4000.0;count;2800.0;5400.0;4000.0;good;no_of_deaths_by_country_clean.csv
2078;38;Costa Rica;2000;500.0;count;500.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1908;38;Costa Rica;2010;500.0;count;200.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1738;38;Costa Rica;2018;500.0;count;200.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
2080;40;Croatia;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1910;40;Croatia;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1740;40;Croatia;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2081;41;Cuba;2000;200.0;count;200.0;500.0;200.0;good;no_of_deaths_by_country_clean.csv
1911;41;Cuba;2010;500.0;count;200.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1741;41;Cuba;2018;500.0;count;500.0;580.0;500.0;good;no_of_deaths_by_country_clean.csv
2082;42;Cyprus;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1912;42;Cyprus;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1742;42;Cyprus;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2083;43;Czechia;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1913;43;Czechia;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1743;43;Czechia;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2079;39;Côte d'Ivoire;2000;44000.0;count;32000.0;63000.0;44000.0;good;no_of_deaths_by_country_clean.csv
1909;39;Côte d'Ivoire;2010;24000.0;count;17000.0;34000.0;24000.0;good;no_of_deaths_by_country_clean.csv
1739;39;Côte d'Ivoire;2018;16000.0;count;11000.0;23000.0;16000.0;good;no_of_deaths_by_country_clean.csv
2085;45;DR Congo;2000;43000.0;count;35000.0;49000.0;43000.0;good;no_of_deaths_by_country_clean.csv
1915;45;DR Congo;2010;34000.0;count;27000.0;40000.0;34000.0;good;no_of_deaths_by_country_clean.csv
1745;45;DR Congo;2018;13000.0;count;10000.0;17000.0;13000.0;good;no_of_deaths_by_country_clean.csv
2086;46;Denmark;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1916;46;Denmark;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1746;46;Denmark;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2087;47;Djibouti;2000;500.0;count;500.0;690.0;500.0;good;no_of_deaths_by_country_clean.csv
1917;47;Djibouti;2010;630.0;count;500.0;780.0;630.0;good;no_of_deaths_by_country_clean.csv
1747;47;Djibouti;2018;500.0;count;500.0;550.0;500.0;good;no_of_deaths_by_country_clean.csv
