id;id_pays;pays;region;id_type_statistique;type_statistique;annee;valeur;type_valeur;valeur_texte;confiance_min;confiance_max;confiance_median;qualite_donnees;fichier_source;date_creation
513;1;Afghanistan;Eastern Mediterranean;2;ART Coverage;2023;13.0;estimated_art_coverage_percent;;7.0;20.0;13.0;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
512;1;Afghanistan;Eastern Mediterranean;2;ART Coverage;2023;7200.0;estimated_living_with_hiv;;4100.0;11000.0;7200.0;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
511;1;Afghanistan;Eastern Mediterranean;2;ART Coverage;2023;920.0;reported_receiving_art;;;;;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
2893;1;Afghanistan;Eastern Mediterranean;6;ART Pediatric Coverage;2023;17.0;estimated_children_art_coverage_percent;;10.0;26.0;17.0;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2892;1;Afghanistan;Eastern Mediterranean;6;ART Pediatric Coverage;2023;500.0;estimated_children_needing_art;;500.0;530.0;500.0;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2891;1;Afghanistan;Eastern Mediterranean;6;ART Pediatric Coverage;2023;60.0;reported_children_receiving_art;;;;;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2721;1;Afghanistan;Eastern Mediterranean;5;HIV Cases Adults 15-49;2000;0.1;count;;0.1;0.1;0.1;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2551;1;Afghanistan;Eastern Mediterranean;5;HIV Cases Adults 15-49;2005;0.1;count;;0.1;0.1;0.1;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2381;1;Afghanistan;Eastern Mediterranean;5;HIV Cases Adults 15-49;2010;0.1;count;;0.1;0.1;0.1;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2211;1;Afghanistan;Eastern Mediterranean;5;HIV Cases Adults 15-49;2018;0.1;count;;0.1;0.1;0.1;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2041;1;Afghanistan;Eastern Mediterranean;4;HIV-related Deaths;2000;100.0;count;;100.0;500.0;100.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
