id;id_pays;pays;annee;valeur;type_valeur;confiance_min;confiance_max;confiance_median;qualite_donnees;fichier_source
513;1;Afghanistan;2023;13.0;estimated_art_coverage_percent;7.0;20.0;13.0;good;art_coverage_by_country_clean.csv
512;1;Afghanistan;2023;7200.0;estimated_living_with_hiv;4100.0;11000.0;7200.0;good;art_coverage_by_country_clean.csv
511;1;Afghanistan;2023;920.0;reported_receiving_art;;;;good;art_coverage_by_country_clean.csv
516;2;Albania;2023;;estimated_art_coverage_percent;;;;good;art_coverage_by_country_clean.csv
515;2;Albania;2023;;estimated_living_with_hiv;;;;good;art_coverage_by_country_clean.csv
514;2;Albania;2023;580.0;reported_receiving_art;;;;good;art_coverage_by_country_clean.csv
519;3;Algeria;2023;81.0;estimated_art_coverage_percent;75.0;86.0;81.0;good;art_coverage_by_country_clean.csv
518;3;Algeria;2023;16000.0;estimated_living_with_hiv;15000.0;17000.0;16000.0;good;art_coverage_by_country_clean.csv
517;3;Algeria;2023;12800.0;reported_receiving_art;;;;good;art_coverage_by_country_clean.csv
522;4;Angola;2023;27.0;estimated_art_coverage_percent;23.0;31.0;27.0;good;art_coverage_by_country_clean.csv
521;4;Angola;2023;330000.0;estimated_living_with_hiv;290000.0;390000.0;330000.0;good;art_coverage_by_country_clean.csv
520;4;Angola;2023;88700.0;reported_receiving_art;;;;good;art_coverage_by_country_clean.csv
525;5;Argentina;2023;61.0;estimated_art_coverage_percent;55.0;67.0;61.0;good;art_coverage_by_country_clean.csv
524;5;Argentina;2023;140000.0;estimated_living_with_hiv;130000.0;150000.0;140000.0;good;art_coverage_by_country_clean.csv
523;5;Argentina;2023;85500.0;reported_receiving_art;;;;good;art_coverage_by_country_clean.csv
528;6;Armenia;2023;53.0;estimated_art_coverage_percent;44.0;65.0;53.0;good;art_coverage_by_country_clean.csv
527;6;Armenia;2023;3500.0;estimated_living_with_hiv;3000.0;4400.0;3500.0;good;art_coverage_by_country_clean.csv
526;6;Armenia;2023;1900.0;reported_receiving_art;;;;good;art_coverage_by_country_clean.csv
531;7;Australia;2023;83.0;estimated_art_coverage_percent;70.0;93.0;83.0;good;art_coverage_by_country_clean.csv
530;7;Australia;2023;28000.0;estimated_living_with_hiv;23000.0;31000.0;28000.0;good;art_coverage_by_country_clean.csv
529;7;Australia;2023;22800.0;reported_receiving_art;;;;good;art_coverage_by_country_clean.csv
534;8;Austria;2023;;estimated_art_coverage_percent;;;;good;art_coverage_by_country_clean.csv
533;8;Austria;2023;;estimated_living_with_hiv;;;;good;art_coverage_by_country_clean.csv
532;8;Austria;2023;;reported_receiving_art;;;;good;art_coverage_by_country_clean.csv
537;9;Azerbaijan;2023;;estimated_art_coverage_percent;;;;good;art_coverage_by_country_clean.csv
