id;id_pays;pays;annee;valeur;type_valeur;confiance_min;confiance_max;confiance_median;qualite_donnees;fichier_source
2893;1;Afghanistan;2023;17.0;estimated_children_art_coverage_percent;10.0;26.0;17.0;good;art_pediatric_coverage_by_country_clean.csv
2892;1;Afghanistan;2023;500.0;estimated_children_needing_art;500.0;530.0;500.0;good;art_pediatric_coverage_by_country_clean.csv
2891;1;Afghanistan;2023;60.0;reported_children_receiving_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2896;2;Albania;2023;;estimated_children_art_coverage_percent;;;;good;art_pediatric_coverage_by_country_clean.csv
2895;2;Albania;2023;;estimated_children_needing_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2894;2;Albania;2023;20.0;reported_children_receiving_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2899;3;Algeria;2023;95.0;estimated_children_art_coverage_percent;95.0;95.0;95.0;good;art_pediatric_coverage_by_country_clean.csv
2898;3;Algeria;2023;500.0;estimated_children_needing_art;500.0;520.0;500.0;good;art_pediatric_coverage_by_country_clean.csv
2897;3;Algeria;2023;770.0;reported_children_receiving_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2902;4;Angola;2023;13.0;estimated_children_art_coverage_percent;10.0;16.0;13.0;good;art_pediatric_coverage_by_country_clean.csv
2901;4;Angola;2023;38000.0;estimated_children_needing_art;30000.0;47000.0;38000.0;good;art_pediatric_coverage_by_country_clean.csv
2900;4;Angola;2023;4800.0;reported_children_receiving_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2905;5;Argentina;2023;92.0;estimated_children_art_coverage_percent;84.0;95.0;92.0;good;art_pediatric_coverage_by_country_clean.csv
2904;5;Argentina;2023;1800.0;estimated_children_needing_art;1600.0;2100.0;1800.0;good;art_pediatric_coverage_by_country_clean.csv
2903;5;Argentina;2023;1700.0;reported_children_receiving_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2908;6;Armenia;2023;;estimated_children_art_coverage_percent;;;;good;art_pediatric_coverage_by_country_clean.csv
2907;6;Armenia;2023;;estimated_children_needing_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2906;6;Armenia;2023;;reported_children_receiving_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2911;7;Australia;2023;;estimated_children_art_coverage_percent;;;;good;art_pediatric_coverage_by_country_clean.csv
2910;7;Australia;2023;100.0;estimated_children_needing_art;100.0;100.0;100.0;good;art_pediatric_coverage_by_country_clean.csv
2909;7;Australia;2023;;reported_children_receiving_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2914;8;Austria;2023;;estimated_children_art_coverage_percent;;;;good;art_pediatric_coverage_by_country_clean.csv
2913;8;Austria;2023;;estimated_children_needing_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2912;8;Austria;2023;;reported_children_receiving_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2917;9;Azerbaijan;2023;;estimated_children_art_coverage_percent;;;;good;art_pediatric_coverage_by_country_clean.csv
2916;9;Azerbaijan;2023;;estimated_children_needing_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2915;9;Azerbaijan;2023;110.0;reported_children_receiving_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2920;10;Bahamas;2023;21.0;estimated_children_art_coverage_percent;18.0;26.0;21.0;good;art_pediatric_coverage_by_country_clean.csv
2919;10;Bahamas;2023;200.0;estimated_children_needing_art;200.0;500.0;200.0;good;art_pediatric_coverage_by_country_clean.csv
2918;10;Bahamas;2023;40.0;reported_children_receiving_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2923;11;Bahrain;2023;;estimated_children_art_coverage_percent;;;;good;art_pediatric_coverage_by_country_clean.csv
2922;11;Bahrain;2023;;estimated_children_needing_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2921;11;Bahrain;2023;;reported_children_receiving_art;;;;good;art_pediatric_coverage_by_country_clean.csv
2926;12;Bangladesh;2023;33.0;estimated_children_art_coverage_percent;28.0;38.0;33.0;good;art_pediatric_coverage_by_country_clean.csv
2925;12;Bangladesh;2023;500.0;estimated_children_needing_art;500.0;500.0;500.0;good;art_pediatric_coverage_by_country_clean.csv
2924;12;Bangladesh;2023;130.0;reported_children_receiving_art;;;;good;art_pediatric_coverage_by_country_clean.csv
