id;id_pays;pays;annee;valeur;type_valeur;confiance_min;confiance_max;confiance_median;qualite_donnees;fichier_source
2;1;Afghanistan;2023;200.0;needing_antiretrovirals;100.0;500.0;200.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
3;1;Afghanistan;2023;11.0;percentage_received;7.0;18.0;11.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
1;1;Afghanistan;2023;20.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
5;2;Albania;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
6;2;Albania;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
4;2;Albania;2023;;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
8;3;Algeria;2023;500.0;needing_antiretrovirals;500.0;500.0;500.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
9;3;Algeria;2023;74.0;percentage_received;69.0;78.0;74.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
7;3;Algeria;2023;320.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
11;4;Angola;2023;25000.0;needing_antiretrovirals;19000.0;32000.0;25000.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
12;4;Angola;2023;38.0;percentage_received;29.0;48.0;38.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
10;4;Angola;2023;9600.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
14;5;Argentina;2023;1800.0;needing_antiretrovirals;1600.0;2000.0;1800.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
15;5;Argentina;2023;95.0;percentage_received;85.0;95.0;95.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
13;5;Argentina;2023;1800.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
17;6;Armenia;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
18;6;Armenia;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
16;6;Armenia;2023;50.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
20;7;Australia;2023;100.0;needing_antiretrovirals;100.0;100.0;100.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
21;7;Australia;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
19;7;Australia;2023;;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
23;8;Austria;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
24;8;Austria;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
22;8;Austria;2023;;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
26;9;Azerbaijan;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
27;9;Azerbaijan;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
25;9;Azerbaijan;2023;;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
29;10;Bahamas;2023;100.0;needing_antiretrovirals;100.0;200.0;100.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
30;10;Bahamas;2023;58.0;percentage_received;51.0;65.0;58.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
28;10;Bahamas;2023;50.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
32;11;Bahrain;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
33;11;Bahrain;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
31;11;Bahrain;2023;0.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
35;12;Bangladesh;2023;200.0;needing_antiretrovirals;200.0;200.0;200.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
36;12;Bangladesh;2023;28.0;percentage_received;24.0;33.0;28.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
34;12;Bangladesh;2023;40.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
38;13;Barbados;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
39;13;Barbados;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
37;13;Barbados;2023;20.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
41;14;Belarus;2023;500.0;needing_antiretrovirals;200.0;500.0;500.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
42;14;Belarus;2023;90.0;percentage_received;67.0;95.0;90.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
40;14;Belarus;2023;230.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
44;15;Belgium;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
45;15;Belgium;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
43;15;Belgium;2023;;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
47;16;Belize;2023;100.0;needing_antiretrovirals;100.0;200.0;100.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
48;16;Belize;2023;44.0;percentage_received;39.0;49.0;44.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
46;16;Belize;2023;40.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
50;17;Benin;2023;2600.0;needing_antiretrovirals;1600.0;4300.0;2600.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
51;17;Benin;2023;95.0;percentage_received;95.0;95.0;95.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
49;17;Benin;2023;4600.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
53;18;Bhutan;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
54;18;Bhutan;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
52;18;Bhutan;2023;;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
56;19;Bolivia;2023;500.0;needing_antiretrovirals;500.0;500.0;500.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
57;19;Bolivia;2023;95.0;percentage_received;95.0;95.0;95.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
55;19;Bolivia;2023;350.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
59;20;Bosnia and Herzegovina;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
60;20;Bosnia and Herzegovina;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
58;20;Bosnia and Herzegovina;2023;;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
62;21;Botswana;2023;13000.0;needing_antiretrovirals;10000.0;14000.0;13000.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
63;21;Botswana;2023;95.0;percentage_received;77.0;95.0;95.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
61;21;Botswana;2023;12400.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
65;22;Brazil;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
66;22;Brazil;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
64;22;Brazil;2023;;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
68;23;Brunei Darussalam;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
69;23;Brunei Darussalam;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
67;23;Brunei Darussalam;2023;0.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
71;24;Bulgaria;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
72;24;Bulgaria;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
70;24;Bulgaria;2023;;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
74;25;Burkina Faso;2023;4900.0;needing_antiretrovirals;3600.0;6100.0;4900.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
75;25;Burkina Faso;2023;95.0;percentage_received;71.0;95.0;95.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
73;25;Burkina Faso;2023;4700.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
77;26;Burundi;2023;5000.0;needing_antiretrovirals;3800.0;6000.0;5000.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
78;26;Burundi;2023;80.0;percentage_received;61.0;95.0;80.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
76;26;Burundi;2023;4000.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
80;27;Cabo Verde;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
81;27;Cabo Verde;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
79;27;Cabo Verde;2023;;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
83;28;Cambodia;2023;730.0;needing_antiretrovirals;600.0;850.0;730.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
84;28;Cambodia;2023;85.0;percentage_received;71.0;95.0;85.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
82;28;Cambodia;2023;620.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
86;29;Cameroon;2023;27000.0;needing_antiretrovirals;21000.0;32000.0;27000.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
87;29;Cameroon;2023;80.0;percentage_received;61.0;94.0;80.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
85;29;Cameroon;2023;21700.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
89;30;Canada;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
90;30;Canada;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
88;30;Canada;2023;;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
92;31;Central African Republic;2023;4500.0;needing_antiretrovirals;3300.0;5800.0;4500.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
93;31;Central African Republic;2023;71.0;percentage_received;52.0;91.0;71.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
91;31;Central African Republic;2023;3200.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
95;32;Chad;2023;10000.0;needing_antiretrovirals;7200.0;13000.0;10000.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
96;32;Chad;2023;56.0;percentage_received;40.0;72.0;56.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
94;32;Chad;2023;5600.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
98;33;Chile;2023;500.0;needing_antiretrovirals;500.0;500.0;500.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
99;33;Chile;2023;95.0;percentage_received;95.0;95.0;95.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
97;33;Chile;2023;370.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
101;34;China;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
102;34;China;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
100;34;China;2023;;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
104;35;Colombia;2023;2300.0;needing_antiretrovirals;1900.0;2700.0;2300.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
105;35;Colombia;2023;21.0;percentage_received;17.0;25.0;21.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
103;35;Colombia;2023;490.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
107;36;Comoros;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
108;36;Comoros;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
106;36;Comoros;2023;0.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
110;37;Congo;2023;4100.0;needing_antiretrovirals;2800.0;5800.0;4100.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
111;37;Congo;2023;25.0;percentage_received;17.0;36.0;25.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
109;37;Congo;2023;1000.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
113;38;Costa Rica;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
114;38;Costa Rica;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
112;38;Costa Rica;2023;40.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
119;40;Croatia;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
120;40;Croatia;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
118;40;Croatia;2023;;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
122;41;Cuba;2023;200.0;needing_antiretrovirals;200.0;200.0;200.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
123;41;Cuba;2023;95.0;percentage_received;86.0;95.0;95.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
121;41;Cuba;2023;180.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
125;42;Cyprus;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
126;42;Cyprus;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
124;42;Cyprus;2023;;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
128;43;Czechia;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
129;43;Czechia;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
127;43;Czechia;2023;10.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
116;39;Côte d'Ivoire;2023;18000.0;needing_antiretrovirals;13000.0;24000.0;18000.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
117;39;Côte d'Ivoire;2023;90.0;percentage_received;65.0;95.0;90.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
115;39;Côte d'Ivoire;2023;16500.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
134;45;DR Congo;2023;26000.0;needing_antiretrovirals;20000.0;31000.0;26000.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
135;45;DR Congo;2023;44.0;percentage_received;33.0;52.0;44.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
133;45;DR Congo;2023;11400.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
137;46;Denmark;2023;;needing_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
138;46;Denmark;2023;;percentage_received;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
136;46;Denmark;2023;;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
140;47;Djibouti;2023;500.0;needing_antiretrovirals;200.0;500.0;500.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
141;47;Djibouti;2023;30.0;percentage_received;22.0;39.0;30.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
139;47;Djibouti;2023;60.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
143;48;Dominican Republic;2023;910.0;needing_antiretrovirals;690.0;1200.0;910.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
144;48;Dominican Republic;2023;84.0;percentage_received;64.0;95.0;84.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
142;48;Dominican Republic;2023;770.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
146;49;Ecuador;2023;500.0;needing_antiretrovirals;500.0;620.0;500.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
147;49;Ecuador;2023;95.0;percentage_received;68.0;95.0;95.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
145;49;Ecuador;2023;370.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
149;50;Egypt;2023;500.0;needing_antiretrovirals;500.0;500.0;500.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
150;50;Egypt;2023;16.0;percentage_received;15.0;18.0;16.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
148;50;Egypt;2023;60.0;received_antiretrovirals;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv
